Ad clicked Date,Ad Title/Id
2026/02/13 18:12:39 UTC,1019845226
2026/04/26 15:13:02 UTC,1378413816
2025/07/13 15:32:58 UTC,748604026
2026/04/27 01:56:07 UTC,1015391346
2025/08/24 23:55:01 UTC,427698984
2026/04/23 23:15:53 UTC,1391941126
2024/12/14 17:58:37 UTC,577772886
2026/04/23 23:16:00 UTC,1391941126
2024/06/25 03:34:13 UTC,417734634
2026/04/20 19:37:44 UTC,1276997514
2024/08/05 02:01:26 UTC,145111864
2026/04/18 12:08:04 UTC,1234609524
2025/10/13 22:01:12 UTC,699277394
2026/04/15 19:44:47 UTC,1003426846
2026/02/09 18:54:57 UTC,1140159924
2026/04/14 18:52:26 UTC,1389362276
2025/12/11 00:54:37 UTC,811245743
2026/04/14 10:50:50 UTC,1386218256
2026/01/29 03:48:16 UTC,427698984
2026/04/14 10:53:19 UTC,1191681043
2026/03/22 18:22:57 UTC,1195411083
2026/04/14 10:55:10 UTC,1206382993
2026/03/22 18:25:38 UTC,862670694
2026/04/12 04:44:21 UTC,1388661086
2026/03/22 18:26:19 UTC,1191681043
2026/04/12 04:44:51 UTC,1388775226
2026/03/23 12:46:48 UTC,975651436
2026/04/12 04:45:01 UTC,1388775226
2026/03/23 00:06:17 UTC,1376174876
2026/04/11 15:18:48 UTC,145111864
2026/03/23 00:06:28 UTC,1376174876
2026/04/09 13:49:22 UTC,376864656
2026/03/23 00:07:36 UTC,1376174876
2026/04/09 13:54:16 UTC,1386329716
2025/08/15 12:21:24 UTC,799695066
2026/04/09 17:39:07 UTC,1376572006
2025/09/21 18:52:43 UTC,757121313
2026/04/10 12:28:59 UTC,1179909113
2025/04/08 18:14:07 UTC,655811333
2026/04/05 17:39:14 UTC,1239129444
2025/11/10 13:16:57 UTC,745249963
2026/04/04 21:54:56 UTC,757099573
2025/09/13 00:08:25 UTC,744674133
2026/04/04 10:47:23 UTC,1383887436
2024/09/19 15:51:26 UTC,145111864
2026/04/03 00:59:36 UTC,145111864
2026/01/04 22:38:30 UTC,962785276
2026/04/03 01:00:41 UTC,1191681043
2026/01/04 22:40:32 UTC,911283153
2026/04/01 18:32:55 UTC,1200105163
2025/12/31 22:06:53 UTC,427698984
2026/04/01 18:33:04 UTC,1200105163
2025/12/31 22:08:02 UTC,427698984
2026/04/08 11:01:34 UTC,1195215533
2025/08/20 22:30:40 UTC,145111864
2026/03/31 23:39:27 UTC,1382822446
2026/01/17 19:42:57 UTC,1029587816
2026/03/31 18:13:28 UTC,1237094584
2026/01/17 19:43:15 UTC,145111864
2026/03/30 11:07:35 UTC,1058862696
2024/10/26 16:35:15 UTC,470172793
2026/03/29 01:45:07 UTC,1233445144
2024/10/26 15:36:45 UTC,521485403
2026/03/28 00:52:06 UTC,1129303514
2025/01/30 13:31:14 UTC,605639896
2026/03/28 00:52:33 UTC,145111864
